Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scores_archaea_odb10	Scores_bacteria_odb10	Scores_eukaryota_odb10	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
Bacillus_anthracis_GCA_000782885.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	1013593	109814	0.048%	33
Bacillus_anthracis_GCA_000783195.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	514334	172368	0.031%	54
Bacillus_anthracis_NZ_CP009328.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5229969	5229969	0.000%	3
Bacillus_anthracis_NZ_CP008846.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5213498	5213498	0.000%	3
Bacillus_anthracis_NZ_CP009331.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5228730	5228730	0.000%	3
Bacillus_cereus_SJ1_GCA_000177295.LargeContigs.fna	bacillales_odb10	96.0	94.9	1.1	3.1	0.9	450	C:20.1%[S:18.6%,D:1.5%],F:5.7%,M:74.2%,n:194	C:97.5%[S:93.5%,D:4.0%],F:2.4%,M:0.1%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.2%,M:94.1%,n:255	73258	73258	0.000%	254
Bacillus_anthracis_GCA_900011745.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	255979	255979	0.000%	48
Bacillus_anthracis_GCA_900013485.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	203421	203421	0.000%	58
Bacillus_anthracis_CZC5_GCA_000534935.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	590084	590084	0.000%	25
Bacillus_anthracis_str__Gmb1_GCA_000359465.LargeContigs.fna	bacillales_odb10	98.9	98.0	0.9	0.9	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:98.4%[S:94.4%,D:4.0%],F:0.8%,M:0.8%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	482624	482624	0.002%	39
